"t","Ta","Ps","Ph","yTi","TimeDate"
0,1.1802,0.0230051071428571,4.82533333333333,21.1590634257453,2009-02-05 14:26:00
0.0833333333333333,1.17715551724138,0.0184248793103448,5.23666666666667,20.996221938837,2009-02-05 14:31:00
0.166666666666667,1.17808411764706,0.0127959058823529,5.23466666666667,20.9928153907532,2009-02-05 14:36:00
0.25,1.17584,0.0122568428571429,5.23933333333333,21.0716779267463,2009-02-05 14:41:00
0.333333333333333,1.13085551724138,0.011287975862069,0.596,21.1626946548128,2009-02-05 14:46:00
0.416666666666667,1.078295,0.0109368510714286,0.044,21.1652488259553,2009-02-05 14:51:00
0.5,1.04014678571429,0.00799521142857143,0.046,21.0505515908646,2009-02-05 14:56:00
0.583333333333333,0.989317655172414,0.00793799137931035,0.044,20.8707821251334,2009-02-05 15:01:00
0.666666666666667,1.01344310714286,0.00626040357142857,4.97533333333333,20.6766618852303,2009-02-05 15:06:00
0.75,1.01998107142857,0.00512900714285714,5.27666666666667,20.5478859973321,2009-02-05 15:11:00
0.833333333333333,1.00853964285714,0.00667524892857143,5.25733333333333,20.5762928627364,2009-02-05 15:16:00
0.916666666666667,0.98826503448276,0.0045880175862069,5.21866666666667,20.6754470088333,2009-02-05 15:21:00
1,0.954045035714286,0.003431905,5.21866666666667,20.7938590253711,2009-02-05 15:26:00
1.08333333333333,0.94805042857143,0.00316791,5.21533333333333,20.9154483743875,2009-02-05 15:31:00
1.16666666666667,0.928281379310345,0.00185705068965517,5.21133333333333,21.0281311490216,2009-02-05 15:36:00
1.25,0.901183892857143,0.000565698214285714,5.192,21.1414369851536,2009-02-05 15:41:00
1.33333333333333,0.878296,0,0.444666666666667,21.2358341238177,2009-02-05 15:46:00
1.41666666666667,0.893028586206897,-0.000509778620689655,0.038,21.2319186964165,2009-02-05 15:51:00
1.5,0.8859255,-0.00211194,0.042,21.1007983544787,2009-02-05 15:56:00
1.58333333333333,0.85867742857143,-0.00214965321428571,0.04,20.9119766029481,2009-02-05 16:01:00
1.66666666666667,0.841464344827586,-0.00291302068965517,4.75133333333333,20.7095074442586,2009-02-05 16:06:00
1.75,0.82870507142857,-0.00316791,5.15666666666667,20.571554406792,2009-02-05 16:11:00
1.83333333333333,0.79927717857143,-0.00316791,5.15733333333333,20.5809082513616,2009-02-05 16:16:00
1.91666666666667,0.786216827586207,-0.00316791,5.14533333333333,20.672018393598,2009-02-05 16:21:00
2,0.78783292857143,-0.00316791,5.14,20.7778279174156,2009-02-05 16:26:00
2.08333333333333,0.783473214285714,-0.00316791,5.136,20.8884683594196,2009-02-05 16:31:00
2.16666666666667,0.762013344827586,-0.00316791,5.12666666666667,20.9981750368026,2009-02-05 16:36:00
2.25,0.742601857142857,-0.00316791,5.12,21.1019197714949,2009-02-05 16:41:00
2.33333333333333,0.75731575,-0.00316791,5.116,21.1953309276927,2009-02-05 16:46:00
2.41666666666667,0.757278275862069,-0.00316791,5.13733333333333,21.2810041114385,2009-02-05 16:51:00
2.5,0.754046107142857,-0.00316791,5.124,21.3669887880698,2009-02-05 16:56:00
2.58333333333333,0.741511964285714,-0.00316791,5.13733333333333,21.4393072630564,2009-02-05 17:01:00
2.66666666666667,0.71886775862069,-0.00316791,0.542,21.5027003990273,2009-02-05 17:06:00
2.75,0.728432821428571,-0.00316791,0.0426666666666667,21.469955655255,2009-02-05 17:11:00
2.83333333333333,0.736062321428571,-0.00316791,0.048,21.3249069082443,2009-02-05 17:16:00
2.91666666666667,0.739332107142857,-0.00316791,0.0473333333333333,21.1165620190856,2009-02-05 17:21:00
3,0.749911931034483,-0.00316791,4.87266666666667,20.8983282568181,2009-02-05 17:26:00
3.08333333333333,0.776389,-0.00316791,5.246,20.7415090634813,2009-02-05 17:31:00
3.16666666666667,0.759495321428571,-0.00316791,5.23133333333333,20.7411475712384,2009-02-05 17:36:00
3.25,0.726252964285714,-0.00316791,5.23466666666667,20.8212500181485,2009-02-05 17:41:00
3.33333333333333,0.709396724137931,-0.00316791,5.25533333333333,20.9230839493156,2009-02-05 17:46:00
3.41666666666667,0.707724285714286,-0.00316791,5.26333333333333,21.0285077325548,2009-02-05 17:51:00
3.5,0.670122571428571,-0.00316791,5.28733333333333,21.1388756830213,2009-02-05 17:56:00
3.58333333333333,0.617844068965517,-0.00316791,5.28466666666667,21.238176996292,2009-02-05 18:01:00
3.66666666666667,0.603637857142857,-0.00316791,0.498666666666667,21.3301747945876,2009-02-05 18:06:00
3.75,0.619441178571429,-0.00316791,0.0426666666666667,21.3138137233573,2009-02-05 18:11:00
3.83333333333333,0.667942642857143,-0.00316791,0.044,21.1704500616522,2009-02-05 18:16:00
3.91666666666667,0.764644310344828,-0.00316791,0.0446666666666667,20.971250164133,2009-02-05 18:21:00
4,0.883745392857143,-0.00316791,0.0446666666666667,20.7551533542698,2009-02-05 18:26:00
4.08333333333333,0.949328137931035,-0.00316791,0.044,20.5382024323867,2009-02-05 18:31:00
4.16666666666667,1.00527014285714,-0.00316791,0.0413333333333333,20.331537231199,2009-02-05 18:36:00
4.25,1.035785,-0.00316791,0.0406666666666667,20.1327405077583,2009-02-05 18:41:00
4.33333333333333,1.05929517241379,-0.00316791,4.822,19.9445200782146,2009-02-05 18:46:00
4.41666666666667,1.12298285714286,-0.00316791,5.22,19.833543428085,2009-02-05 18:51:00
4.5,1.202,-0.00316791,5.23,19.8789606019981,2009-02-05 18:56:00
4.58333333333333,1.27555103448276,-0.00316791,5.22666666666667,19.9979841879238,2009-02-05 19:01:00
